time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_range,train/entropy_loss,train/approx_kl,train/loss,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/n_updates,eval/mean_ep_length,eval/mean_reward
1462272,119,734,1990,0.2,-0.018765811716457394,0.0027485061,44.62418746948242,0.998126745223999,112.08049754103025,0.0017894558373275989,0.0003,0.010945638020833334,1180,,
1474560,120,735,2005,0.2,-0.016258284071106268,0.001923305,83.25141143798828,0.9953298568725586,146.24459189573923,0.00018550770691945219,0.0003,0.005159505208333333,1190,,
1486848,121,735,2021,0.2,-0.01615736851975574,0.004769998,75.00584411621094,0.9948713183403015,224.99756818215053,0.0017065981840763318,0.0003,0.007861328125,1200,,
1499136,122,736,2036,0.2,-0.014816037283253536,0.00705679,115.3606948852539,0.9934582114219666,156.4681740085284,0.013973463978860916,0.0003,0.021443684895833332,1210,,
1500000,,,,0.2,-0.01345812822452596,0.0054783165,57.5068244934082,0.99803227186203,130.75613894561926,0.003804465027011853,0.0003,0.0110107421875,1220,8760.0,76860.38313069343
1511424,123,733,2060,,,,,,,,,,,,
1523712,124,733,2077,0.2,-0.014908917936524328,0.0011988593,127.60430908203125,0.9964722990989685,125.50147992173831,0.0003569497309702759,0.0003,0.007828776041666667,1230,,
1536000,125,733,2095,0.2,-0.015730748325434737,0.0012961598,100.60314178466797,0.995125949382782,126.9763542274634,0.0007581280813610646,0.0003,0.00732421875,1240,,
1548288,126,733,2110,0.2,-0.015157828123725873,0.00055766525,73.90035247802734,0.9957372546195984,135.38363264699777,0.05512643593538087,0.0003,0.014827473958333334,1250,,
1560000,,,,0.2,-0.014428012016530071,0.003876217,46.22249221801758,0.9983102083206177,98.30264684359233,0.008713268181842674,0.0003,0.011165364583333334,1260,8760.0,77073.05363037586
1560576,127,731,2134,,,,,,,,,,,,
1572864,128,732,2148,0.2,-0.014344352407230568,0.0015336676,85.06387329101562,0.997485876083374,130.08971397280692,-4.9089930689660834e-05,0.0003,0.0067626953125,1270,,
1585152,129,732,2163,0.2,-0.014507000648336543,0.0017105952,97.5966796875,0.9958378076553345,155.89619934558868,0.0004005703628839304,0.0003,0.006355794270833334,1280,,
1597440,130,733,2177,0.2,-0.013094239726069646,0.0024309356,150.8704071044922,0.9935399889945984,241.86880266070366,0.004122124152248338,0.0003,0.008251953125,1290,,
1609728,131,733,2193,0.2,-0.007246519716651771,0.69917375,99.71148681640625,0.9969833493232727,114.50758225123087,0.01930129029157494,0.0003,0.04391276041666667,1300,,
1620000,,,,0.2,-0.0130191050268877,0.9895899,24.96514320373535,0.9888440370559692,54.8533343407015,-0.025590101216706292,0.0003,0.07796223958333333,1310,8641.0,72826.57760825157
1622016,132,731,2218,,,,,,,,,,,,
